,,before,sentence,after,final
156,1557,"Now our holy festival Rakshabandhan is coming, I want to kindly request all the Sanatan Hindus to buy Rakhi only and only from Hindu shops.","So that the rakhi from whom you are buying can also give any gift to your sister daughter, she can also celebrate Rakshabandhan.","Not that you want to buy from someone 🤱  who ♀  👱 👩 🧚 ♀   👸    does not even know the meaning 🐷  of 🐷  mother-in-law, from whom you are buying rakhi from Muslims, do you know that tomorrow 🧐  👀  your 🧕  sister 🧕  daughters Will look at it wrongly.",none
157,1558,"Tell someone to Rahul Gandhi that if you want the safety of daughters, then end that hateful thinking of the Congress.","Recall the screams of Snehlata Reddy and ask the Indians who sing Indira, how much they know Indira.","Ask how much they know Gandhi, who is called Mahatma, who physically and mentally exploited many women.",oppression
158,1559,"Mamta was afraid that if the Muslims were stopped, they would get angry and would not vote.","It has been said in the article that in districts where the number of Muslims is more, they buy Hindu traders bycot.","In the districts of Malda, Murshidabad and North Dinajpur, Muslims do not even buy goods from Hindu shops.",none
159,1560,Was it necessary to read the Quran while staying in the mosque?,What was the need to do goat halal?,"Everything is hypocrisy, a means of earning money.",action
160,1561,And --- * who is the Kafir * ??,Now understand this ... Share * Share 👉  to all *,,none
161,1562,The purpose of keeping salutations to all gentlemen is to embrace good and forsake evil.,Satyarth Prakash 17th Samullas Vikrami 2061 * Maharshi Aurobindo * Hindu-Muslim unity is impossible because the Muslim Quran does not tolerate Hinduism as a friend.,Hindu-Muslim unity should not mean slavery of Hindus.,culture
162,1563,After that the Kashmiri Muslims came out on the streets.,"~ They burned the houses of Kashmiri Pandits, raped Kashmir Pandit women, then murdered them and ""hanged their naked bodies on a tree"".",~ Some women were raped and burnt alive and the rest were killed with hot bars of iron.,oppression
163,1564,"In a way, clever attempts have been made to show the sanctity and necessity of Namaz more important than the festival of Holi.","If once you see the advertisement in your mind, Ganga-Jamuni tehzeeb, brotherhood, the innocence of children comes to mind, then you have been caught in the intellectual loop.",Where you get entangled in such Bhrimjal (Ganga Jamuni Tehzeeb) which is not there and to be taken away from what is there.,none
164,1565,It is also a weapon in the non-Muslim world and in the Muslims to bow down to the neutral.,He also has other weapons which have been used for the same purpose.,"Various edicts, states like Khomeini and Taliban, insistence of Sharia law everywhere, the course of madrassas and conscious changes in them, anti-Taslima, anti-Semitism, demographic pressure, 'Islamophobia'  Proposals, Islamic banking, immigration policy etc.",none
165,1566,"◆ ""I do not believe in Hinduism of any kind"" said it.",◆ I opposed Yoga Day.,◆ PM Modi abused Shakedo.,none
166,1567,"One incident in the interpretation mentions that when the emperor called ""Decius-Decius"" in Rome It was then that some followers of Jesus hid in a cave to save his life.",And he slept there for years.,"When he woke up it was discovered that ""Theodosius - theodosius"" had become Emperor in Rome at that time.",none
167,1568,"India had to give 75 crores rupees as an agreement to Pakistan after independence, India also gave 20 crores rupees but in the meantime Pakistan invaded Kashmir on 22 October 1947.",The Union Cabinet was upset with the attack and decided not to give the amount of 55 crores.,"Which was opposed by Mahatma Gandhi and started a fast-unto-death, which resulted in a sum of 55 crores of India  Gave it to Pakistan.",none
168,1569,The jewelry worn by the women was also snatched away by the Islamic terrorists.,"Taking up this loaded suitcase, the Islamic terrorists asked the old and infirm Sarbananda Kaul to accompany them.",The terrorists said that they will leave Sarvanand Kaul lover in a while.,none
169,1570,His great-grandfather brother Paraga was the commander of the sixth Guru Hargobind.,He gave up his life in the war against the Mughals.,"Seeing his dedication, the Gurus gave his family the title of 'Bhai'.",none
170,1571,Today the same problem has started emerging 🚩  in various states of India.,Therefore today an India # campaign is needed.,"चार Dr. Charudatta Pingay, National Guide, Hindu Janajagruti Samiti, told that in the time of Mahabharata, 5 Gods #Sri Krishna asked for 5 villages but the Kauravas refused to give that too, followed by #Mahabharata.",action
171,1572,"In this article, Janet warns those Western countries that are allowing Muslim refugees to arrive that they will soon have to face this situation.",Beware what is happening in Bengal today will happen all over the country tomorrow ...,,none
172,1573,"* Once closed blindly think how compelled those Kashmiri Hindus were that a few days ago, the people living 😢  a laughing life were forced to beg, till now girls studying in colleges to 😢  deal with their bodies today Forced, till today, the people living in big houses were forced to live in the area due to 😢  the mess of the displaced people with torn dirty tents.",* And the most shameful thing is that 🙏  👉  the government and media of that time kept the reality hidden from the rest of the countrymen.,* This miserable situation of Kashmiri Hindus never came before my eyes again.,none
173,1574,"Here after the killings of ➡  all the men, the girls were divided among themselves.",60 people died in Rajapur.,All the Hindu shops were looted in Babuganj.,oppression
174,1575,70 per cent are living by Hindu names and the above mentioned things are well done.,Lakhs of Muslims have reached Punjab.,"When the time comes, all these are ready for the jihad to show the infidels to the infidels.",none
175,1576,Well .... of our present government ....,Listening to this Bhagirath plan ....,I remembered a mythology I read in my childhood .... And in that mythology too ... something similar The incident is mentioned….,none
176,1577,He did not have the option to become great… He did not even have the craze to become great.,"if  If it was a craze, then it was a craze for nationalism.","Like crazy, each refugee who came from Pakistan used to gather two rotis and blankets.",none
177,1578,"If such an equation were in favor of any other community of the country, it would not take the name of descending from power ...","Here, even the people of 7-8 percent of the population are enjoying power while 14-15 percent of the Muslims spread their hands at the rate of the poor.",-Yaro helpers are standing ...,oppression
